sample_id,scenario,mean_off_diagonal_cross_contract_correlation,representative_contract_moneyness,representative_contract_maturity_years,representative_contract_lag1_correlation
92,persistent_factor,0.099010977841,0,0.25,0.210687871817
93,low_iid,0.00539875095922,0,0.25,0.0589035386843
93,spatial_corr,0.208406570733,0,0.25,-0.0534585413
93,persistent_factor,0.118010922169,0,0.25,0.226678108743
94,low_iid,0.000650606728841,0,0.25,0.0422786040205
94,spatial_corr,0.180701620595,0,0.25,0.0458444574008
94,persistent_factor,0.0833963421969,0,0.25,0.178812963587
95,low_iid,0.000851414449375,0,0.25,-0.0077922526927
95,spatial_corr,0.222721641081,0,0.25,0.0103124969355
95,persistent_factor,0.0784271464932,0,0.25,0.0431956258244
96,low_iid,0.00603708833441,0,0.25,-0.034727296706
96,spatial_corr,0.196576971703,0,0.25,-0.060414949241
96,persistent_factor,0.103137788516,0,0.25,0.132340309554
97,low_iid,0.0070985578676,0,0.25,0.0095882295053
97,spatial_corr,0.203807807305,0,0.25,-0.0480346741201
97,persistent_factor,0.112296631907,0,0.25,0.140075603544
98,low_iid,0.00115946219409,0,0.25,-0.0241779985824
98,spatial_corr,0.22401213872,0,0.25,-0.0025893648629
98,persistent_factor,0.103802014394,0,0.25,0.184157108107
99,low_iid,0.00657352296591,0,0.25,-0.00787680009713
99,spatial_corr,0.204106876581,0,0.25,-0.0588003480961
99,persistent_factor,0.0923951319653,0,0.25,0.165340774215
