sample_id,scenario,mean_error,mae,rmse,median_absolute_error,q95_absolute_error,correlation
29,persistent_factor,-0.00214073008075,0.00267178023849,0.00332089491262,0.00204897551027,0.00740242376967,0.994565906457
30,clean,0.00362201010451,0.00364878129324,0.00389687752613,0.00385945086147,0.00573381410482,0.999428261182
30,low_iid,0.00117601051628,0.001897514435,0.00242396771348,0.00173915497362,0.0046804978945,0.990164203887
30,spatial_corr,0.000757261441268,0.00198552966302,0.00238058858335,0.00181298834535,0.00448442174419,0.988564680061
30,persistent_factor,0.00215465994512,0.0024689325839,0.00292807305996,0.00233922861375,0.00525745313644,0.989809765119
31,clean,-0.00137241992915,0.00137241992915,0.00163835362538,0.00124806618681,0.0030141944306,0.999998554757
31,low_iid,-0.00288291574573,0.00310353759929,0.00373122636318,0.00287911603489,0.00773496993867,0.992342486907
31,spatial_corr,-0.00261569660466,0.00285889044672,0.00346330206343,0.00254922645851,0.00724768898142,0.992319288328
31,persistent_factor,-0.00266673311343,0.0030024908528,0.00360636794298,0.00269709678074,0.00760935843116,0.991794899726
32,clean,-0.00352629327784,0.00352629327784,0.00361645822963,0.00339947242213,0.00498033656657,0.999978211066
32,low_iid,-0.00549856804259,0.00550015752297,0.00615034903447,0.00576658151881,0.0103157381725,0.989753245066
32,spatial_corr,-0.00474005934582,0.0050620512551,0.00569170678383,0.00518248177556,0.0099086745359,0.989547320134
32,persistent_factor,-0.00582454404427,0.00582454404427,0.00632556335295,0.00589761939749,0.0103157377298,0.98919396701
33,clean,-0.00135891386243,0.00135891386243,0.00169062160605,0.00115511946302,0.00320209820952,0.999998449883
33,low_iid,-0.00414667764306,0.00415764872339,0.00493679626512,0.00451462457004,0.00895452866428,0.993107710054
33,spatial_corr,-0.00395831739519,0.00398222445085,0.00467749144748,0.00392499796076,0.00867926549533,0.992510870458
33,persistent_factor,-0.00438981246649,0.00438981246649,0.00494747648548,0.00439789305689,0.00867926567308,0.993001816197
34,clean,0.000562276718695,0.00120956427281,0.00142156239335,0.00118905850051,0.00227865017732,0.9999927107
34,low_iid,-0.00062961701132,0.00143429067941,0.00183673605366,0.00112491248078,0.00368128456392,0.995635344063
34,spatial_corr,-0.00121856758133,0.00184080734354,0.00220933491203,0.00175585217976,0.00400535053087,0.995630715862
34,persistent_factor,-0.00148194578802,0.0019164419291,0.00233561043818,0.00183177338189,0.00416224484117,0.995806871517
35,clean,0.000211980373731,0.000994008632977,0.00124387005773,0.000944340376371,0.00244781376597,0.999960454187
35,low_iid,-0.00202185615375,0.00227636875492,0.00282289289766,0.00197893186349,0.00527904608202,0.992098131324
35,spatial_corr,-0.00199624404816,0.00230741579714,0.00286209358343,0.00191926674165,0.00540078856783,0.991397235899
35,persistent_factor,-0.00153509584129,0.00207724204249,0.00258319698945,0.00181980743193,0.0050009753539,0.992001689676
36,clean,-0.00248688658956,0.00248688658956,0.00267977974626,0.00226078488116,0.00444063992346,0.999995715512
36,low_iid,-0.00337277110918,0.00340561137945,0.00390126218002,0.00353737893647,0.00642064337361,0.992966627616
36,spatial_corr,-0.00394990914038,0.00395972700924,0.00445219699453,0.00402483061321,0.00705529269065,0.992461645508
36,persistent_factor,-0.00354753694812,0.00358163200505,0.00411874542242,0.0035869030724,0.00681193431619,0.992123315037
37,clean,-0.00244347519153,0.00244347519153,0.00264746518268,0.00229282117622,0.00431515939496,0.999981442978
37,low_iid,-0.00416966261234,0.00417458455034,0.00486180467021,0.00399846865148,0.00937956408644,0.991479761226
37,spatial_corr,-0.00453026836632,0.0045345554395,0.00515930586755,0.0045230106717,0.0089317249211,0.991685920744
37,persistent_factor,-0.00466836128759,0.00466836128759,0.0052536289936,0.00446157692359,0.00948178468197,0.991073759431
38,clean,-0.000944930091746,0.000951476157843,0.00122074424415,0.000761918740319,0.0024553662002,0.99999966056
38,low_iid,-0.00451101234733,0.00451101234733,0.00503062066315,0.00445256102839,0.0085808281764,0.994039636166
38,spatial_corr,-0.00468555607367,0.00468555607367,0.00525480473141,0.0047788413061,0.00872111951216,0.99358204679
38,persistent_factor,-0.00430078038878,0.00430078038878,0.00483999229887,0.00426272532333,0.00832097741398,0.994122113505
39,clean,-0.000100796626996,0.000969438782626,0.00127737414935,0.000802067144134,0.00283462070948,0.99997216961
39,low_iid,-0.00203052361273,0.00232562711585,0.00280643490383,0.00205588437163,0.00487669406925,0.993204939133
39,spatial_corr,-0.00184131712454,0.00223218543045,0.0027204640452,0.00198461338262,0.00475013050732,0.992383349874
39,persistent_factor,-0.00269251611655,0.00284015721606,0.00334232492838,0.00275909224198,0.00554629588703,0.993138522899
40,clean,-0.00199050124759,0.00199050124759,0.0019991828143,0.00202109722155,0.00222589102346,0.99998652841
40,low_iid,-0.00415239520207,0.00415239520207,0.00461098863597,0.00428834207997,0.00731988766609,0.995642675681
40,spatial_corr,-0.00407182010463,0.00407209072194,0.00472424044582,0.00441737242189,0.00753669565546,0.994826603389
40,persistent_factor,-0.0030104696189,0.00318772817912,0.00404007373692,0.0037606160124,0.0068451914015,0.995038453892
41,clean,-0.00202154519197,0.00202159143753,0.00206384732387,0.0019046826043,0.00284095320163,0.999959003006
41,low_iid,-0.00433364371475,0.00433482366718,0.00492058142753,0.00418553388819,0.00923468555792,0.99012232826
41,spatial_corr,-0.00495063364994,0.00495374438229,0.00548936360961,0.00493159118523,0.00938058762379,0.989159015258
41,persistent_factor,-0.00317547338641,0.00370167781909,0.00435692890357,0.00307668922518,0.00923466823754,0.989784439376
42,clean,-0.000407813259377,0.000762214808696,0.00104210481794,0.000528165169439,0.00221804234343,0.999989486943
42,low_iid,-0.00409346243279,0.00413240233389,0.00509953576618,0.00417587517036,0.00982483609574,0.993731914286
42,spatial_corr,-0.00477793449138,0.00478924110635,0.00562575498075,0.00478293214699,0.0101785454055,0.99296082333
42,persistent_factor,-0.00453217043752,0.00453526953309,0.00535922936037,0.00441008117856,0.00999613144094,0.993433474011
43,clean,-0.000914662435769,0.00100285638883,0.001376097627,0.000709890026524,0.00302064215253,0.999997228804
43,low_iid,-0.00304528264543,0.00320039645057,0.00386432410881,0.00288667972496,0.00738322219797,0.99293418269
43,spatial_corr,-0.0033589628085,0.00348782636899,0.00416161230048,0.0031940621838,0.00780102161559,0.992575558686
43,persistent_factor,-0.00319143845851,0.00343869117306,0.00415591590512,0.00299776571589,0.00815660004557,0.992653779506
44,clean,-0.000989716429718,0.001115570588,0.00151333010447,0.00072081082616,0.00300239452881,0.999996476841
44,low_iid,-0.00380854013677,0.00380854013677,0.00427076159779,0.00363950119889,0.00722115457399,0.994999171242
44,spatial_corr,-0.00373628964379,0.0037363320792,0.00422735340835,0.00367255530393,0.00727432248169,0.994836823604
44,persistent_factor,-0.00367739550464,0.00367739550464,0.0041895727416,0.00356808305423,0.00722634602535,0.994994986274
45,clean,-0.00280950352883,0.00280950352883,0.00292036141484,0.00265297615818,0.00434858149257,0.999994492485
45,low_iid,-0.00495794679297,0.00495794679297,0.00553728168101,0.0050361525203,0.00889711984382,0.991037313216
45,spatial_corr,-0.0031470056045,0.00408520676722,0.00474817935622,0.0034277166891,0.00960672429655,0.990071029975
45,persistent_factor,-0.00472464303554,0.00473863983088,0.00539298992854,0.00488201366099,0.00888600014228,0.99068795702
46,clean,-0.00207028901809,0.00207028901809,0.00212149691537,0.00205184744893,0.00284755588739,0.999958515688
46,low_iid,-0.0046123908134,0.0046123908134,0.00497993964351,0.00470194563782,0.00741353258438,0.993477536896
46,spatial_corr,-0.00408135501276,0.00418324042024,0.00476217839074,0.00456483788291,0.00724028485439,0.992457975672
46,persistent_factor,-0.00355257067605,0.00407281818445,0.00453695393311,0.0043743575786,0.00686993886216,0.992622505505
47,clean,-0.00361103863524,0.00361103863524,0.00369278647764,0.00352460163345,0.00496235965037,0.999966148277
47,low_iid,-0.00486057772013,0.00486057772013,0.00531652583464,0.0051621750914,0.00836737618335,0.992481221453
47,spatial_corr,-0.00375885467787,0.00424636690505,0.00475942155913,0.00441549871974,0.00826618384786,0.991690559103
47,persistent_factor,-0.00461599634332,0.0046192890561,0.00512831468033,0.00495084279899,0.00817349749377,0.9921789748
48,clean,0.000262577386967,0.00073396334464,0.000874226563678,0.000697958370818,0.00134828828295,0.999995923934
48,low_iid,-0.000860828237541,0.00183959092323,0.00218976376466,0.00163796599957,0.00404585683585,0.987795780728
48,spatial_corr,-0.000566994433204,0.00194116878323,0.00227750077688,0.00185205909128,0.00411438630895,0.985705081917
48,persistent_factor,0.0001524903748,0.0018214450463,0.00218323097771,0.00171268014628,0.00392573989392,0.986577810697
49,clean,0.00271640359138,0.00285530743064,0.0032064001317,0.00299232552868,0.00532875366363,0.999340840033
49,low_iid,0.00115346521407,0.0018344864852,0.00219492124965,0.00179560469507,0.00404498862495,0.993215970522
49,spatial_corr,-0.000460347441267,0.00167922099885,0.0019564669281,0.00153911894124,0.00351405446154,0.994283034113
49,persistent_factor,0.000326254259297,0.00153382886637,0.00181364385265,0.00135407549366,0.00340994164159,0.993532366508
50,clean,-0.00181649100757,0.00181649100757,0.0019839430324,0.00163239524417,0.00350746612601,0.999997671681
50,low_iid,-0.00232752015777,0.00341284308002,0.00386268259997,0.00306686713254,0.00761738319166,0.993626848774
50,spatial_corr,-0.00372735316164,0.00373712015825,0.0043674632042,0.00376638113761,0.00779292591413,0.992997867353
50,persistent_factor,-0.00407539666544,0.00407582748468,0.00458684858397,0.00427320320891,0.00737883423092,0.993868244581
51,clean,-0.000385312366498,0.000590641137235,0.000850155023945,0.000382021184762,0.00184979438886,0.999997318552
51,low_iid,-0.00379876655246,0.00379876655246,0.00442747533259,0.0037771095417,0.00802744301592,0.99399097303
51,spatial_corr,-0.00398527342483,0.00399304389906,0.00455350146188,0.00396751403466,0.00789358969737,0.994064322567
51,persistent_factor,-0.00356945094172,0.00358331134246,0.00427405630844,0.00351505350668,0.00824054227394,0.99370620924
52,clean,0.0020649980499,0.00225591584433,0.00240706659498,0.00246263727465,0.00329257936701,0.999995211784
52,low_iid,0.000692438345835,0.00159083987315,0.00196848798803,0.00130152107743,0.00396050285284,0.995616927091
52,spatial_corr,-0.000302041460985,0.00153351532718,0.00190770407199,0.00125255886525,0.00383066848294,0.995584910707
52,persistent_factor,0.000411877165518,0.00153495017013,0.00191215569657,0.00129664657265,0.00385617219278,0.995514854072
53,clean,0.00194081544936,0.00198247774585,0.00231103094409,0.00202201257842,0.00447353724273,0.998591598237
53,low_iid,-0.000665905736276,0.00181221398777,0.00210062394399,0.00184089256642,0.00361326619842,0.988910904596
53,spatial_corr,-0.000833477863837,0.0019336609004,0.00227604596553,0.00189484933708,0.00386161489138,0.987505275407
53,persistent_factor,-0.0018503360075,0.00231434438496,0.00278033540766,0.00205919562128,0.00477342353732,0.987645448425
54,clean,-0.000522935552682,0.00091135162041,0.00131768852362,0.000621203453721,0.0031097229036,0.99999421742
54,low_iid,-0.0032515756585,0.00328599589135,0.00384774918644,0.00315133828179,0.00663422180694,0.994153634808
54,spatial_corr,-0.00196736334596,0.00223425463196,0.00270407659554,0.00217121678418,0.00504480383446,0.994591800061
54,persistent_factor,-0.00279624915236,0.00287518482265,0.00341034440111,0.00270800731427,0.00586825841783,0.994500122984
55,clean,-0.00112794455107,0.00114008584556,0.00147895885517,0.000884563580457,0.00314783464909,0.999999987879
55,low_iid,-0.00411423585826,0.00411801208359,0.00471435819524,0.00400778804029,0.00851156758911,0.993811150933
55,spatial_corr,-0.00430197394971,0.00430992931339,0.00488980769857,0.00418213902617,0.0087170830756,0.993641301607
55,persistent_factor,-0.00396306312559,0.0039693450954,0.00457053654072,0.00384407166836,0.0084719248648,0.99403430497
56,clean,0.00276006519808,0.00284063640024,0.00297485228681,0.00311851468257,0.00371733828905,0.999995947511
56,low_iid,-0.000291136353422,0.00167887186817,0.00207533595456,0.00147520886851,0.00387033150034,0.995291891821
56,spatial_corr,-0.000292922781089,0.00164951816639,0.00204649656641,0.00143529163838,0.00393088269003,0.995144005761
56,persistent_factor,0.000186440702979,0.001711994508,0.00213741295029,0.00143232960454,0.00436307389168,0.994956554051
57,clean,-0.00494933974709,0.00494933974709,0.00497708439666,0.00494179047691,0.00588187464785,0.999958102626
57,low_iid,-0.00679365585683,0.00679365585683,0.00723428849496,0.00704363368946,0.0112164622471,0.991977339222
57,spatial_corr,-0.00646546467278,0.00646546467278,0.00699687051157,0.00684560214204,0.0109758536683,0.991616156196
57,persistent_factor,-0.0066716318868,0.0066716318868,0.00714826916941,0.00696134656611,0.0115946974321,0.992070071462
58,clean,0.0029085389869,0.00291029926244,0.00302018429758,0.00304037630811,0.00376739256449,0.999922119276
58,low_iid,0.000626781815748,0.0016144129128,0.0019600252237,0.00149453256797,0.00361458559814,0.99051600245
58,spatial_corr,0.000711990498917,0.00170542887073,0.00207325323384,0.00148449848467,0.00396932197326,0.989629786019
58,persistent_factor,0.000505645202907,0.00156045333894,0.00187532933319,0.00140802809984,0.00354084760041,0.990879891984
59,clean,0.00125724708328,0.00152657948584,0.00200306022359,0.00131332962997,0.00415244042331,0.99690896786
59,low_iid,-0.000316862662325,0.00161126319293,0.00193968433003,0.00145677322961,0.00361023545204,0.991656009481
59,spatial_corr,0.000289989041532,0.00176194101329,0.0022060894858,0.00150749669732,0.00466732934891,0.991518864029
59,persistent_factor,-0.00172374114095,0.00226559011595,0.00262980319152,0.00233710277754,0.00433917047599,0.990991518663
60,clean,0.00206557351649,0.00206692575626,0.00213901712774,0.00222871360944,0.0026084554865,0.99998827974
60,low_iid,0.000163203470218,0.00177609834971,0.00211373139958,0.0016561909387,0.00369550452664,0.992668548924
60,spatial_corr,-9.06958878464e-06,0.002070374658,0.00262640696903,0.00147140782307,0.00480126162364,0.991549268403
60,persistent_factor,-2.824669128e-05,0.00187619991636,0.00231101018986,0.00155091170369,0.00412288082593,0.992381551364
61,clean,-0.00226182248015,0.00226182248015,0.0023852606288,0.00211110995442,0.00368630302715,0.999974450742
61,low_iid,-0.00179838498274,0.00242083731257,0.00285681035395,0.00244761710836,0.00475858602356,0.990143648471
61,spatial_corr,-0.00186460133072,0.00227948355801,0.00269878293091,0.00232502867521,0.00459241037166,0.990268299625
61,persistent_factor,-0.00167664506411,0.00207920284052,0.00253259628963,0.00186850973704,0.0050189425594,0.9895987152
62,clean,-0.00197283458658,0.00197283458658,0.00202830844547,0.00195043842057,0.00277466956891,0.999972582835
62,low_iid,-0.00274627750448,0.00303757575036,0.0036380926803,0.0025538604489,0.00747648869738,0.988863442937
62,spatial_corr,-0.00313649542008,0.00327588283981,0.00391508274368,0.00293313702889,0.00768932632412,0.988052003352
62,persistent_factor,-0.00282124665001,0.00303910323521,0.00364606728502,0.00267736676445,0.00731442541406,0.988858676759
63,clean,-0.00163044362168,0.00163044362168,0.0019080700321,0.00145493482105,0.00355001245787,0.999987100398
63,low_iid,-0.00399899096807,0.00400151024708,0.00463276131851,0.00378374744772,0.00847555497016,0.991222112344
63,spatial_corr,-0.00403138554379,0.00406519933726,0.0047321804467,0.0038855222838,0.00877597129811,0.990516047543
63,persistent_factor,-0.00380145086856,0.00382233205512,0.00447007759665,0.00364274346063,0.0081681106356,0.991227300697
64,clean,0.000744720553737,0.00114912390675,0.00129961238634,0.00120800384273,0.0018070744971,0.999991045234
64,low_iid,-0.00192502512256,0.00236458088972,0.00290220241919,0.00184773156855,0.00511013213885,0.994736887921
64,spatial_corr,-0.00213675423493,0.00254499628178,0.00311650261536,0.00213568815352,0.00547027263342,0.994274990599
64,persistent_factor,-0.00196280988809,0.00247639203146,0.00299936427679,0.00199722563344,0.00529131774261,0.994759488052
65,clean,-0.000688663830274,0.0011595613484,0.00157755058184,0.000862595002463,0.00319251842974,0.99893840395
65,low_iid,-0.003253365041,0.00341494862565,0.00406204515009,0.00316141610161,0.0077912687352,0.990941347136
